id,Nom,Prénom,Age,Taille,Poids,Salaire
216,Nom_216,Prenom_216,37,182.72,71.48,11992.8
217,Nom_217,Prenom_217,39,152.86,76.71,8845.13
218,Nom_218,Prenom_218,42,188.28,51.93,11196.91
219,Nom_219,Prenom_219,23,184.04,80.54,8067.4
220,Nom_220,Prenom_220,30,163.47,82.18,6711.16
221,Nom_221,Prenom_221,40,173.75,59.8,7379.85
222,Nom_222,Prenom_222,41,178.51,64.09,10809.42
223,Nom_223,Prenom_223,33,157.3,80.93,8668.6
224,Nom_224,Prenom_224,42,170.55,89.25,7326.48
225,Nom_225,Prenom_225,37,158.18,52.88,8485.37
226,Nom_226,Prenom_226,30,152.99,50.77,11957.05
227,Nom_227,Prenom_227,32,195.86,58.4,13741.99
228,Nom_228,Prenom_228,26,176.97,70.75,9815.75
229,Nom_229,Prenom_229,27,158.37,58.47,11639.29
230,Nom_230,Prenom_230,39,179.26,77.39,7986.6
231,Nom_231,Prenom_231,35,198.81,88.28,7307.42
232,Nom_232,Prenom_232,41,181.94,57.47,8569.94
233,Nom_233,Prenom_233,38,194.38,78.38,8643.24
234,Nom_234,Prenom_234,39,162.51,52.4,11878.36
235,Nom_235,Prenom_235,36,197.52,91.09,11375.9
236,Nom_236,Prenom_236,33,157.81,59.76,10159.97
237,Nom_237,Prenom_237,42,190.71,65.47,13211.58
238,Nom_238,Prenom_238,23,177.18,55.5,6557.01
239,Nom_239,Prenom_239,33,162.73,86.61,11381.62
240,Nom_240,Prenom_240,36,187.54,50.6,10197.86
241,Nom_241,Prenom_241,21,154.4,93.99,10251.05
242,Nom_242,Prenom_242,28,183.77,54.12,12264.72
243,Nom_243,Prenom_243,29,154.27,70.97,6001.46
244,Nom_244,Prenom_244,31,195.29,75.71,11678.28
245,Nom_245,Prenom_245,32,180.09,58.94,6972.31
246,Nom_246,Prenom_246,41,199.31,76.69,7055.94
247,Nom_247,Prenom_247,27,187.37,78.05,6819.37
248,Nom_248,Prenom_248,41,168.18,65.6,13733.19
249,Nom_249,Prenom_249,39,175.92,83.08,6946.05
250,Nom_250,Prenom_250,42,167.7,75.25,7639.76
251,Nom_251,Prenom_251,24,169.68,65.64,12399.83
252,Nom_252,Prenom_252,34,177.27,93.56,6911.15
253,Nom_253,Prenom_253,38,187.9,85.42,10967.21
254,Nom_254,Prenom_254,29,182.76,66.03,9957.99
255,Nom_255,Prenom_255,27,176.85,76.18,12561.36
256,Nom_256,Prenom_256,33,177.55,62.5,6301.54
257,Nom_257,Prenom_257,32,189.1,92.86,10297.17
258,Nom_258,Prenom_258,29,170.16,76.18,13132.98
259,Nom_259,Prenom_259,42,197.67,87.28,12544.25
260,Nom_260,Prenom_260,36,155.87,86.32,11128.84
261,Nom_261,Prenom_261,22,154.99,59.52,13793.84
262,Nom_262,Prenom_262,36,168.19,52.22,10098.69
263,Nom_263,Prenom_263,36,155.68,66.27,13174.54
264,Nom_264,Prenom_264,40,150.93,83.11,12319.1
265,Nom_265,Prenom_265,30,190.63,93.63,12682.57
266,Nom_266,Prenom_266,27,181.8,88.63,8065.98
267,Nom_267,Prenom_267,28,179.42,66.84,7512.96
268,Nom_268,Prenom_268,22,188.54,62.36,6435.99
269,Nom_269,Prenom_269,22,168.36,58.87,13485.63
270,Nom_270,Prenom_270,26,195.03,63.6,13895.12
271,Nom_271,Prenom_271,36,192.45,86.85,11978.95
272,Nom_272,Prenom_272,28,169.73,69.03,6980.38
273,Nom_273,Prenom_273,26,166.34,64.89,12437.08
274,Nom_274,Prenom_274,30,178.47,71.98,10981.84
275,Nom_275,Prenom_275,28,164.0,79.02,8670.39
276,Nom_276,Prenom_276,24,198.75,94.44,12847.83
277,Nom_277,Prenom_277,36,188.77,80.98,7145.16
278,Nom_278,Prenom_278,40,157.4,68.06,9356.92
279,Nom_279,Prenom_279,23,167.56,67.75,10650.36
280,Nom_280,Prenom_280,35,195.21,88.67,12369.19
281,Nom_281,Prenom_281,21,176.47,67.79,6547.68
282,Nom_282,Prenom_282,34,154.1,54.82,7311.93
283,Nom_283,Prenom_283,29,193.62,62.24,12481.97
284,Nom_284,Prenom_284,37,181.37,57.61,10548.86
285,Nom_285,Prenom_285,33,197.41,73.24,9804.08
286,Nom_286,Prenom_286,35,187.4,86.47,11221.03
287,Nom_287,Prenom_287,24,164.5,84.64,9428.66
288,Nom_288,Prenom_288,30,156.87,71.81,8393.75
289,Nom_289,Prenom_289,39,150.65,91.53,12162.84
290,Nom_290,Prenom_290,31,161.86,84.26,12884.86
291,Nom_291,Prenom_291,32,165.96,61.8,13036.57
292,Nom_292,Prenom_292,25,160.69,64.11,6167.55
293,Nom_293,Prenom_293,28,150.33,62.81,6177.4
294,Nom_294,Prenom_294,28,171.42,62.28,12236.53
295,Nom_295,Prenom_295,35,175.7,60.77,10228.52
296,Nom_296,Prenom_296,37,175.96,55.49,11987.76
297,Nom_297,Prenom_297,29,187.78,56.3,10141.82
298,Nom_298,Prenom_298,25,199.56,60.47,9434.26
299,Nom_299,Prenom_299,28,189.28,64.25,12617.69
300,Nom_300,Prenom_300,27,166.71,68.81,12395.7
301,Nom_301,Prenom_301,38,166.55,84.38,7149.77
302,Nom_302,Prenom_302,32,153.47,69.32,10828.14
303,Nom_303,Prenom_303,29,171.09,80.66,8314.02
304,Nom_304,Prenom_304,29,172.82,78.21,10296.54
305,Nom_305,Prenom_305,41,170.27,57.93,8510.67
306,Nom_306,Prenom_306,31,163.57,71.91,9068.88
307,Nom_307,Prenom_307,25,185.9,68.85,9092.24
308,Nom_308,Prenom_308,35,171.69,92.45,9964.25
309,Nom_309,Prenom_309,23,197.07,57.47,11378.29
310,Nom_310,Prenom_310,25,182.92,78.31,6087.04
311,Nom_311,Prenom_311,39,193.85,87.44,9984.87
312,Nom_312,Prenom_312,34,194.29,75.81,9351.33
313,Nom_313,Prenom_313,29,176.73,75.65,7396.11
314,Nom_314,Prenom_314,33,196.63,58.7,9818.9
315,Nom_315,Prenom_315,37,170.32,78.33,11908.67
316,Nom_316,Prenom_316,33,194.07,71.36,10447.78
317,Nom_317,Prenom_317,27,171.73,78.82,11177.0
318,Nom_318,Prenom_318,36,189.17,80.78,13326.97
319,Nom_319,Prenom_319,21,166.41,89.2,10922.8
320,Nom_320,Prenom_320,30,191.72,70.98,7524.04
321,Nom_321,Prenom_321,29,155.83,62.6,7507.24
322,Nom_322,Prenom_322,34,170.2,84.35,11909.77
323,Nom_323,Prenom_323,39,159.04,73.13,9312.08
324,Nom_324,Prenom_324,40,161.87,77.07,10498.08
325,Nom_325,Prenom_325,39,183.2,79.92,10572.61
326,Nom_326,Prenom_326,25,172.62,55.69,11832.96
327,Nom_327,Prenom_327,39,164.13,93.01,13590.06
328,Nom_328,Prenom_328,35,164.16,64.49,6985.7
329,Nom_329,Prenom_329,25,157.58,64.99,6122.99
330,Nom_330,Prenom_330,21,166.25,91.37,11645.35
331,Nom_331,Prenom_331,23,176.5,75.27,12921.7
332,Nom_332,Prenom_332,37,156.84,83.52,12119.18
333,Nom_333,Prenom_333,29,160.13,87.6,8622.44
334,Nom_334,Prenom_334,24,164.87,50.78,12695.59
335,Nom_335,Prenom_335,33,193.56,83.6,12721.56
336,Nom_336,Prenom_336,41,159.63,94.44,7733.54
337,Nom_337,Prenom_337,39,152.51,80.76,12619.8
338,Nom_338,Prenom_338,30,164.32,51.92,8750.58
339,Nom_339,Prenom_339,32,151.4,70.37,9841.91
340,Nom_340,Prenom_340,42,156.31,67.52,13594.94
341,Nom_341,Prenom_341,35,158.81,64.33,8949.41
342,Nom_342,Prenom_342,26,157.94,79.16,9547.32
343,Nom_343,Prenom_343,25,181.19,77.83,10513.92
344,Nom_344,Prenom_344,39,184.12,64.77,6196.3
345,Nom_345,Prenom_345,39,177.81,53.48,6466.03
346,Nom_346,Prenom_346,40,177.27,88.84,8858.08
347,Nom_347,Prenom_347,36,188.26,72.58,13009.61
348,Nom_348,Prenom_348,40,152.03,70.9,8492.68
349,Nom_349,Prenom_349,25,184.88,72.68,7177.49
350,Nom_350,Prenom_350,36,187.06,81.76,12677.52
351,Nom_351,Prenom_351,39,187.66,83.33,8510.46
352,Nom_352,Prenom_352,25,161.17,52.45,6245.6
353,Nom_353,Prenom_353,40,157.8,72.57,8197.22
354,Nom_354,Prenom_354,39,184.47,61.36,8965.35
355,Nom_355,Prenom_355,33,160.99,88.53,12293.87
356,Nom_356,Prenom_356,26,175.86,74.79,13219.42
357,Nom_357,Prenom_357,29,153.18,94.53,9087.02
358,Nom_358,Prenom_358,36,156.6,60.67,8111.82
359,Nom_359,Prenom_359,22,161.89,75.59,12115.3
360,Nom_360,Prenom_360,26,172.99,82.61,12521.14
361,Nom_361,Prenom_361,37,181.54,84.2,10837.35
362,Nom_362,Prenom_362,25,173.37,86.9,6865.89
363,Nom_363,Prenom_363,37,157.16,78.14,6158.8
364,Nom_364,Prenom_364,24,171.28,50.22,12657.86
365,Nom_365,Prenom_365,34,158.94,80.12,12572.64
366,Nom_366,Prenom_366,34,197.03,57.77,6992.34
367,Nom_367,Prenom_367,39,190.64,79.98,11227.72
368,Nom_368,Prenom_368,28,191.91,92.62,10045.69
369,Nom_369,Prenom_369,42,168.6,69.42,13601.6
370,Nom_370,Prenom_370,35,168.18,60.58,9710.72
371,Nom_371,Prenom_371,33,151.56,62.34,7566.29
372,Nom_372,Prenom_372,24,150.31,68.77,6213.75
373,Nom_373,Prenom_373,34,177.3,65.41,13697.84
374,Nom_374,Prenom_374,38,165.81,51.6,9124.28
375,Nom_375,Prenom_375,26,170.27,58.5,6645.32
376,Nom_376,Prenom_376,27,154.98,54.03,13642.28
377,Nom_377,Prenom_377,30,175.2,77.45,12649.35
378,Nom_378,Prenom_378,22,199.76,69.38,13622.3
379,Nom_379,Prenom_379,35,168.46,81.75,9643.14
380,Nom_380,Prenom_380,34,198.65,88.94,10066.46
381,Nom_381,Prenom_381,35,189.94,89.32,10844.43
382,Nom_382,Prenom_382,23,193.56,85.65,6697.8
383,Nom_383,Prenom_383,25,175.79,68.26,9575.58
384,Nom_384,Prenom_384,26,175.58,82.19,10895.32
385,Nom_385,Prenom_385,26,182.44,94.68,13831.79
386,Nom_386,Prenom_386,39,176.72,76.54,13560.19
387,Nom_387,Prenom_387,26,161.29,72.59,13919.94
388,Nom_388,Prenom_388,29,197.65,68.09,13729.25
389,Nom_389,Prenom_389,27,181.76,88.95,10507.4
390,Nom_390,Prenom_390,39,188.34,64.85,7734.23
391,Nom_391,Prenom_391,36,167.37,67.39,6931.74
392,Nom_392,Prenom_392,42,173.84,68.19,13333.94
393,Nom_393,Prenom_393,26,183.25,73.67,10943.51
394,Nom_394,Prenom_394,35,181.16,51.23,11709.19
395,Nom_395,Prenom_395,29,191.8,94.0,12869.31
396,Nom_396,Prenom_396,32,165.93,51.25,6811.99
397,Nom_397,Prenom_397,39,162.83,59.54,9706.02
398,Nom_398,Prenom_398,26,178.52,64.72,12692.38
399,Nom_399,Prenom_399,35,195.53,52.48,6133.91
400,Nom_400,Prenom_400,26,199.15,86.79,6440.4
401,Nom_401,Prenom_401,34,155.93,85.04,7067.9
402,Nom_402,Prenom_402,37,152.29,90.81,8060.7
403,Nom_403,Prenom_403,42,191.95,61.76,9240.8
404,Nom_404,Prenom_404,23,184.64,90.77,11483.13
405,Nom_405,Prenom_405,31,176.95,56.78,11900.69
406,Nom_406,Prenom_406,38,150.81,93.12,8445.21
407,Nom_407,Prenom_407,41,194.73,58.1,7594.75
408,Nom_408,Prenom_408,24,158.98,92.03,13453.05
409,Nom_409,Prenom_409,29,193.24,93.97,7784.22
410,Nom_410,Prenom_410,26,175.32,67.65,10792.59
411,Nom_411,Prenom_411,25,164.73,87.68,8439.89
412,Nom_412,Prenom_412,24,172.07,76.52,13080.68
413,Nom_413,Prenom_413,28,184.95,57.57,12687.55
414,Nom_414,Prenom_414,24,190.06,59.7,6970.47
415,Nom_415,Prenom_415,30,181.58,93.29,13130.32
416,Nom_416,Prenom_416,27,198.58,79.75,13481.52
417,Nom_417,Prenom_417,34,181.76,83.41,6836.98
418,Nom_418,Prenom_418,30,185.39,80.26,9481.5
419,Nom_419,Prenom_419,35,193.57,83.46,10275.19
420,Nom_420,Prenom_420,31,167.32,53.97,12600.08
421,Nom_421,Prenom_421,23,177.62,54.79,7992.21
422,Nom_422,Prenom_422,28,172.58,55.42,10513.34
423,Nom_423,Prenom_423,28,155.83,54.28,8112.01
424,Nom_424,Prenom_424,30,196.93,63.47,10697.95
425,Nom_425,Prenom_425,30,170.72,58.21,10558.45
426,Nom_426,Prenom_426,28,164.4,81.03,8866.7
427,Nom_427,Prenom_427,24,168.99,94.31,6402.47
428,Nom_428,Prenom_428,29,154.03,85.2,8487.74
429,Nom_429,Prenom_429,41,189.84,74.88,12361.36
430,Nom_430,Prenom_430,31,153.85,52.38,10476.62
431,Nom_431,Prenom_431,30,176.74,94.52,12883.73
432,Nom_432,Prenom_432,36,156.07,67.61,8186.95
433,Nom_433,Prenom_433,23,163.54,77.61,7418.78
434,Nom_434,Prenom_434,22,159.94,89.77,13066.36
435,Nom_435,Prenom_435,36,192.97,89.24,12763.77
436,Nom_436,Prenom_436,21,162.98,89.97,10292.38
437,Nom_437,Prenom_437,30,194.32,91.43,13109.52
438,Nom_438,Prenom_438,23,194.26,68.83,10200.59
439,Nom_439,Prenom_439,41,198.68,63.1,8507.21
440,Nom_440,Prenom_440,28,192.03,93.56,6218.41
441,Nom_441,Prenom_441,23,161.39,53.57,7781.34
442,Nom_442,Prenom_442,28,198.78,55.9,13328.22
443,Nom_443,Prenom_443,35,173.82,89.73,11361.47
444,Nom_444,Prenom_444,25,190.66,71.6,7194.1
445,Nom_445,Prenom_445,41,196.56,86.62,11159.47
446,Nom_446,Prenom_446,25,184.2,56.17,12378.54
447,Nom_447,Prenom_447,37,151.45,56.97,11885.77
448,Nom_448,Prenom_448,40,199.35,60.29,8544.96
449,Nom_449,Prenom_449,25,185.03,56.1,10041.35
450,Nom_450,Prenom_450,23,172.07,61.02,10265.84
451,Nom_451,Prenom_451,35,180.13,68.6,8131.21
452,Nom_452,Prenom_452,33,182.75,69.97,9966.48
453,Nom_453,Prenom_453,23,152.36,94.54,9866.73
454,Nom_454,Prenom_454,24,178.4,58.27,10364.29
455,Nom_455,Prenom_455,41,171.36,90.0,6531.82
456,Nom_456,Prenom_456,34,180.93,73.04,6680.98
457,Nom_457,Prenom_457,35,176.18,75.93,10740.77
458,Nom_458,Prenom_458,23,193.7,75.67,13509.0
459,Nom_459,Prenom_459,23,185.27,59.43,10513.27
460,Nom_460,Prenom_460,32,153.51,71.38,11898.96
461,Nom_461,Prenom_461,30,194.2,59.13,11032.45
462,Nom_462,Prenom_462,32,162.54,63.74,12243.92
463,Nom_463,Prenom_463,23,187.96,74.08,6429.15
464,Nom_464,Prenom_464,23,172.91,70.15,8872.45
