id,Nom,Prénom,Age,Taille,Poids,Salaire,Prime Annuelle,catégorie de poids
75,NOM_75,PRENOM_75,39,169.6,55.55,9179.02,917.902,Lèger
76,NOM_76,PRENOM_76,31,164.58,88.39,10810.79,1081.0790000000002,Moyen
77,NOM_77,PRENOM_77,34,157.1,84.69,7049.88,704.988,Moyen
78,NOM_78,PRENOM_78,22,192.09,73.1,12894.66,1289.4660000000001,Moyen
79,NOM_79,PRENOM_79,41,195.32,51.27,12255.46,1225.546,Lèger
80,NOM_80,PRENOM_80,36,169.97,56.61,8937.24,893.724,Lèger
81,NOM_81,PRENOM_81,38,196.82,63.63,11066.78,1106.678,Lèger
82,NOM_82,PRENOM_82,33,155.29,88.8,9805.62,980.5620000000001,Moyen
83,NOM_83,PRENOM_83,40,174.33,94.46,9865.94,986.594,Lourd
84,NOM_84,PRENOM_84,37,177.39,84.92,10507.63,1050.763,Moyen
85,NOM_85,PRENOM_85,27,180.82,78.04,9261.71,926.1709999999999,Moyen
86,NOM_86,PRENOM_86,39,159.46,57.11,7195.01,719.5010000000001,Lèger
87,NOM_87,PRENOM_87,31,171.38,66.22,10539.85,1053.9850000000001,Lèger
88,NOM_88,PRENOM_88,33,173.85,52.17,8132.96,813.296,Lèger
89,NOM_89,PRENOM_89,34,166.84,84.08,8265.2,826.5200000000001,Moyen
90,NOM_90,PRENOM_90,29,199.95,85.89,11599.1,1159.91,Moyen
91,NOM_91,PRENOM_91,29,197.79,64.76,7796.82,779.682,Lèger
92,NOM_92,PRENOM_92,21,184.83,81.18,10367.84,1036.784,Moyen
93,NOM_93,PRENOM_93,41,189.37,91.09,7523.8,752.3800000000001,Lourd
94,NOM_94,PRENOM_94,22,168.4,65.93,7313.76,731.3760000000001,Lèger
95,NOM_95,PRENOM_95,39,153.12,57.18,12550.66,1255.066,Lèger
96,NOM_96,PRENOM_96,33,195.09,78.62,13651.54,1365.1540000000002,Moyen
97,NOM_97,PRENOM_97,40,162.62,67.99,7471.63,747.163,Lèger
98,NOM_98,PRENOM_98,41,171.32,89.29,13830.84,1383.084,Moyen
99,NOM_99,PRENOM_99,22,150.47,64.66,6481.02,648.1020000000001,Lèger
100,NOM_100,PRENOM_100,26,165.93,51.96,9545.54,954.5540000000001,Lèger
101,NOM_101,PRENOM_101,37,156.9,75.5,8541.85,854.1850000000001,Moyen
102,NOM_102,PRENOM_102,37,170.3,52.51,6736.51,673.6510000000001,Lèger
103,NOM_103,PRENOM_103,40,153.42,83.29,12157.04,1215.7040000000002,Moyen
104,NOM_104,PRENOM_104,28,159.03,77.88,7795.87,779.587,Moyen
105,NOM_105,PRENOM_105,31,186.13,92.81,6464.58,646.4580000000001,Lourd
106,NOM_106,PRENOM_106,42,169.74,80.77,8480.54,848.0540000000001,Moyen
107,NOM_107,PRENOM_107,40,153.2,83.12,13111.57,1311.1570000000002,Moyen
108,NOM_108,PRENOM_108,25,173.03,61.05,11538.53,1153.853,Lèger
109,NOM_109,PRENOM_109,30,190.33,83.24,12667.26,1266.726,Moyen
110,NOM_110,PRENOM_110,40,184.95,94.17,13736.02,1373.602,Lourd
111,NOM_111,PRENOM_111,41,176.15,90.03,10671.69,1067.169,Lourd
112,NOM_112,PRENOM_112,35,156.5,74.29,7365.07,736.5070000000001,Moyen
113,NOM_113,PRENOM_113,33,198.75,50.1,9614.79,961.4790000000002,Lèger
114,NOM_114,PRENOM_114,32,166.23,60.67,12616.42,1261.642,Lèger
115,NOM_115,PRENOM_115,37,182.36,91.35,11613.47,1161.347,Lourd
116,NOM_116,PRENOM_116,37,180.07,56.71,12054.18,1205.4180000000001,Lèger
117,NOM_117,PRENOM_117,22,185.79,59.64,12289.83,1228.9830000000002,Lèger
118,NOM_118,PRENOM_118,39,171.45,69.19,13630.96,1363.096,Lèger
119,NOM_119,PRENOM_119,29,163.63,85.65,7292.84,729.2840000000001,Moyen
120,NOM_120,PRENOM_120,25,192.69,58.87,10260.9,1026.09,Lèger
121,NOM_121,PRENOM_121,26,170.65,82.28,13087.53,1308.7530000000002,Moyen
122,NOM_122,PRENOM_122,36,150.52,71.92,9446.92,944.692,Moyen
123,NOM_123,PRENOM_123,36,196.79,83.38,10607.76,1060.776,Moyen
124,NOM_124,PRENOM_124,42,181.99,64.24,12605.63,1260.563,Lèger
125,NOM_125,PRENOM_125,28,181.97,52.55,11625.91,1162.5910000000001,Lèger
126,NOM_126,PRENOM_126,30,181.93,57.59,12933.94,1293.3940000000002,Lèger
127,NOM_127,PRENOM_127,23,166.61,84.5,12519.91,1251.991,Moyen
128,NOM_128,PRENOM_128,31,171.08,75.75,10392.16,1039.2160000000001,Moyen
129,NOM_129,PRENOM_129,27,153.61,66.99,9629.42,962.942,Lèger
130,NOM_130,PRENOM_130,32,188.82,59.73,12133.97,1213.397,Lèger
131,NOM_131,PRENOM_131,34,197.54,75.53,12742.26,1274.226,Moyen
132,NOM_132,PRENOM_132,25,176.13,86.62,8603.91,860.3910000000001,Moyen
133,NOM_133,PRENOM_133,38,194.85,74.83,6817.98,681.798,Moyen
134,NOM_134,PRENOM_134,24,194.28,75.52,7231.66,723.166,Moyen
135,NOM_135,PRENOM_135,21,159.04,91.74,8821.33,882.133,Lourd
136,NOM_136,PRENOM_136,30,181.73,87.22,11478.81,1147.881,Moyen
137,NOM_137,PRENOM_137,42,179.57,88.28,7900.85,790.085,Moyen
138,NOM_138,PRENOM_138,29,174.78,66.93,12375.77,1237.5770000000002,Lèger
139,NOM_139,PRENOM_139,37,162.98,65.54,7091.94,709.194,Lèger
140,NOM_140,PRENOM_140,33,160.16,88.68,8883.97,888.3969999999999,Moyen
141,NOM_141,PRENOM_141,31,194.55,73.34,10926.2,1092.6200000000001,Moyen
142,NOM_142,PRENOM_142,24,159.65,59.1,9359.74,935.974,Lèger
143,NOM_143,PRENOM_143,25,157.73,80.38,13673.51,1367.351,Moyen
144,NOM_144,PRENOM_144,37,175.42,53.49,10102.94,1010.2940000000001,Lèger
145,NOM_145,PRENOM_145,37,160.17,84.09,8787.84,878.7840000000001,Moyen
146,NOM_146,PRENOM_146,38,160.32,74.23,10339.25,1033.925,Moyen
147,NOM_147,PRENOM_147,22,181.65,85.05,8151.0,815.1,Moyen
148,NOM_148,PRENOM_148,22,186.32,69.52,8393.77,839.3770000000001,Lèger
149,NOM_149,PRENOM_149,29,180.03,73.83,6515.62,651.562,Moyen
150,NOM_150,PRENOM_150,36,156.1,80.57,10831.3,1083.1299999999999,Moyen
151,NOM_151,PRENOM_151,39,195.2,78.85,9479.96,947.996,Moyen
152,NOM_152,PRENOM_152,32,154.24,51.67,12152.9,1215.29,Lèger
153,NOM_153,PRENOM_153,36,193.98,82.16,9400.27,940.027,Moyen
154,NOM_154,PRENOM_154,31,154.13,66.28,12772.97,1277.297,Lèger
155,NOM_155,PRENOM_155,24,162.84,93.73,12509.76,1250.976,Lourd
156,NOM_156,PRENOM_156,30,192.22,56.37,8836.98,883.698,Lèger
157,NOM_157,PRENOM_157,27,185.59,88.86,13207.45,1320.7450000000001,Moyen
158,NOM_158,PRENOM_158,42,160.16,64.09,8772.56,877.256,Lèger
159,NOM_159,PRENOM_159,37,163.15,66.06,13646.87,1364.6870000000001,Lèger
160,NOM_160,PRENOM_160,32,152.91,64.76,8768.44,876.844,Lèger
161,NOM_161,PRENOM_161,33,157.5,62.77,8591.28,859.1280000000002,Lèger
162,NOM_162,PRENOM_162,35,196.64,67.6,9834.29,983.4290000000001,Lèger
163,NOM_163,PRENOM_163,39,177.89,80.94,12253.1,1225.3100000000002,Moyen
164,NOM_164,PRENOM_164,21,190.53,78.7,9452.77,945.277,Moyen
165,NOM_165,PRENOM_165,21,182.62,83.58,7847.93,784.7930000000001,Moyen
166,NOM_166,PRENOM_166,32,176.54,77.57,7039.26,703.926,Moyen
167,NOM_167,PRENOM_167,30,191.62,86.28,11118.83,1111.883,Moyen
168,NOM_168,PRENOM_168,42,171.95,62.11,7523.72,752.3720000000001,Lèger
169,NOM_169,PRENOM_169,22,165.92,79.4,12400.47,1240.047,Moyen
170,NOM_170,PRENOM_170,36,154.59,55.55,10058.58,1005.8580000000001,Lèger
171,NOM_171,PRENOM_171,31,194.23,50.21,11179.22,1117.922,Lèger
172,NOM_172,PRENOM_172,31,167.53,67.37,6470.36,647.0360000000001,Lèger
173,NOM_173,PRENOM_173,29,176.22,71.28,7224.58,722.4580000000001,Moyen
174,NOM_174,PRENOM_174,30,159.13,79.69,10421.06,1042.106,Moyen
175,NOM_175,PRENOM_175,27,170.66,66.61,11180.57,1118.057,Lèger
176,NOM_176,PRENOM_176,39,179.84,76.72,10537.64,1053.764,Moyen
177,NOM_177,PRENOM_177,39,158.97,64.7,12437.65,1243.765,Lèger
178,NOM_178,PRENOM_178,38,176.71,51.43,7264.76,726.4760000000001,Lèger
179,NOM_179,PRENOM_179,23,163.31,58.23,6454.81,645.4810000000001,Lèger
180,NOM_180,PRENOM_180,35,162.14,56.54,12843.45,1284.3450000000003,Lèger
181,NOM_181,PRENOM_181,37,183.32,51.57,12677.47,1267.747,Lèger
182,NOM_182,PRENOM_182,25,181.55,87.07,10794.4,1079.44,Moyen
183,NOM_183,PRENOM_183,38,191.21,74.75,13971.41,1397.141,Moyen
184,NOM_184,PRENOM_184,21,183.64,71.86,13826.23,1382.623,Moyen
185,NOM_185,PRENOM_185,33,191.37,85.37,11965.24,1196.5240000000001,Moyen
186,NOM_186,PRENOM_186,38,199.07,76.52,8062.65,806.265,Moyen
187,NOM_187,PRENOM_187,40,160.02,51.89,12556.05,1255.605,Lèger
188,NOM_188,PRENOM_188,22,193.06,69.7,7516.34,751.634,Lèger
189,NOM_189,PRENOM_189,34,174.74,92.35,8517.77,851.777,Lourd
190,NOM_190,PRENOM_190,35,191.84,93.63,8744.05,874.405,Lourd
191,NOM_191,PRENOM_191,24,160.15,72.81,13836.69,1383.669,Moyen
192,NOM_192,PRENOM_192,26,161.14,87.31,8315.18,831.518,Moyen
193,NOM_193,PRENOM_193,22,196.79,80.41,9327.37,932.7370000000001,Moyen
194,NOM_194,PRENOM_194,26,189.17,60.63,11142.19,1114.219,Lèger
195,NOM_195,PRENOM_195,27,199.18,77.09,6618.41,661.841,Moyen
196,NOM_196,PRENOM_196,26,197.26,90.36,6314.36,631.436,Lourd
197,NOM_197,PRENOM_197,41,195.94,87.39,8883.87,888.3870000000002,Moyen
198,NOM_198,PRENOM_198,39,162.48,64.64,9246.19,924.6190000000001,Lèger
199,NOM_199,PRENOM_199,35,183.41,72.57,13670.95,1367.0950000000003,Moyen
200,NOM_200,PRENOM_200,25,168.32,72.38,10930.18,1093.018,Moyen
201,NOM_201,PRENOM_201,41,195.22,75.21,9852.95,985.2950000000001,Moyen
202,NOM_202,PRENOM_202,34,172.41,86.8,6842.93,684.2930000000001,Moyen
203,NOM_203,PRENOM_203,29,182.25,53.1,13550.55,1355.055,Lèger
204,NOM_204,PRENOM_204,34,156.25,70.93,9666.18,966.618,Moyen
205,NOM_205,PRENOM_205,28,156.44,92.1,13577.02,1357.7020000000002,Lourd
206,NOM_206,PRENOM_206,33,186.19,61.68,10261.4,1026.14,Lèger
207,NOM_207,PRENOM_207,27,183.21,85.72,12547.41,1254.741,Moyen
208,NOM_208,PRENOM_208,32,150.98,78.4,9123.17,912.317,Moyen
209,NOM_209,PRENOM_209,29,172.3,82.11,7705.82,770.582,Moyen
210,NOM_210,PRENOM_210,23,172.26,76.32,13017.16,1301.7160000000001,Moyen
211,NOM_211,PRENOM_211,42,190.7,94.04,11478.23,1147.823,Lourd
212,NOM_212,PRENOM_212,41,158.5,80.11,8077.37,807.7370000000001,Moyen
213,NOM_213,PRENOM_213,31,192.59,68.95,13731.63,1373.163,Lèger
214,NOM_214,PRENOM_214,24,161.86,86.06,7902.09,790.2090000000001,Moyen
215,NOM_215,PRENOM_215,41,167.24,88.2,9794.79,979.4790000000002,Moyen
216,NOM_216,PRENOM_216,37,182.72,71.48,11992.8,1199.28,Moyen
217,NOM_217,PRENOM_217,39,152.86,76.71,8845.13,884.5129999999999,Moyen
218,NOM_218,PRENOM_218,42,188.28,51.93,11196.91,1119.691,Lèger
219,NOM_219,PRENOM_219,23,184.04,80.54,8067.4,806.74,Moyen
220,NOM_220,PRENOM_220,30,163.47,82.18,6711.16,671.116,Moyen
221,NOM_221,PRENOM_221,40,173.75,59.8,7379.85,737.9850000000001,Lèger
222,NOM_222,PRENOM_222,41,178.51,64.09,10809.42,1080.942,Lèger
223,NOM_223,PRENOM_223,33,157.3,80.93,8668.6,866.8600000000001,Moyen
224,NOM_224,PRENOM_224,42,170.55,89.25,7326.48,732.648,Moyen
225,NOM_225,PRENOM_225,37,158.18,52.88,8485.37,848.5370000000001,Lèger
226,NOM_226,PRENOM_226,30,152.99,50.77,11957.05,1195.705,Lèger
227,NOM_227,PRENOM_227,32,195.86,58.4,13741.99,1374.199,Lèger
228,NOM_228,PRENOM_228,26,176.97,70.75,9815.75,981.575,Moyen
229,NOM_229,PRENOM_229,27,158.37,58.47,11639.29,1163.929,Lèger
230,NOM_230,PRENOM_230,39,179.26,77.39,7986.6,798.6600000000001,Moyen
231,NOM_231,PRENOM_231,35,198.81,88.28,7307.42,730.7420000000001,Moyen
232,NOM_232,PRENOM_232,41,181.94,57.47,8569.94,856.9940000000001,Lèger
233,NOM_233,PRENOM_233,38,194.38,78.38,8643.24,864.3240000000001,Moyen
234,NOM_234,PRENOM_234,39,162.51,52.4,11878.36,1187.836,Lèger
235,NOM_235,PRENOM_235,36,197.52,91.09,11375.9,1137.59,Lourd
236,NOM_236,PRENOM_236,33,157.81,59.76,10159.97,1015.997,Lèger
237,NOM_237,PRENOM_237,42,190.71,65.47,13211.58,1321.1580000000001,Lèger
238,NOM_238,PRENOM_238,23,177.18,55.5,6557.01,655.701,Lèger
239,NOM_239,PRENOM_239,33,162.73,86.61,11381.62,1138.162,Moyen
240,NOM_240,PRENOM_240,36,187.54,50.6,10197.86,1019.7860000000001,Lèger
241,NOM_241,PRENOM_241,21,154.4,93.99,10251.05,1025.105,Lourd
242,NOM_242,PRENOM_242,28,183.77,54.12,12264.72,1226.472,Lèger
243,NOM_243,PRENOM_243,29,154.27,70.97,6001.46,600.1460000000001,Moyen
244,NOM_244,PRENOM_244,31,195.29,75.71,11678.28,1167.8280000000002,Moyen
245,NOM_245,PRENOM_245,32,180.09,58.94,6972.31,697.2310000000001,Lèger
246,NOM_246,PRENOM_246,41,199.31,76.69,7055.94,705.594,Moyen
247,NOM_247,PRENOM_247,27,187.37,78.05,6819.37,681.937,Moyen
248,NOM_248,PRENOM_248,41,168.18,65.6,13733.19,1373.3190000000002,Lèger
249,NOM_249,PRENOM_249,39,175.92,83.08,6946.05,694.605,Moyen
250,NOM_250,PRENOM_250,42,167.7,75.25,7639.76,763.9760000000001,Moyen
251,NOM_251,PRENOM_251,24,169.68,65.64,12399.83,1239.9830000000002,Lèger
252,NOM_252,PRENOM_252,34,177.27,93.56,6911.15,691.115,Lourd
253,NOM_253,PRENOM_253,38,187.9,85.42,10967.21,1096.721,Moyen
254,NOM_254,PRENOM_254,29,182.76,66.03,9957.99,995.799,Lèger
255,NOM_255,PRENOM_255,27,176.85,76.18,12561.36,1256.1360000000002,Moyen
256,NOM_256,PRENOM_256,33,177.55,62.5,6301.54,630.154,Lèger
257,NOM_257,PRENOM_257,32,189.1,92.86,10297.17,1029.717,Lourd
258,NOM_258,PRENOM_258,29,170.16,76.18,13132.98,1313.298,Moyen
259,NOM_259,PRENOM_259,42,197.67,87.28,12544.25,1254.4250000000002,Moyen
260,NOM_260,PRENOM_260,36,155.87,86.32,11128.84,1112.884,Moyen
261,NOM_261,PRENOM_261,22,154.99,59.52,13793.84,1379.384,Lèger
262,NOM_262,PRENOM_262,36,168.19,52.22,10098.69,1009.8690000000001,Lèger
263,NOM_263,PRENOM_263,36,155.68,66.27,13174.54,1317.4540000000002,Lèger
264,NOM_264,PRENOM_264,40,150.93,83.11,12319.1,1231.91,Moyen
265,NOM_265,PRENOM_265,30,190.63,93.63,12682.57,1268.257,Lourd
266,NOM_266,PRENOM_266,27,181.8,88.63,8065.98,806.598,Moyen
267,NOM_267,PRENOM_267,28,179.42,66.84,7512.96,751.296,Lèger
268,NOM_268,PRENOM_268,22,188.54,62.36,6435.99,643.599,Lèger
269,NOM_269,PRENOM_269,22,168.36,58.87,13485.63,1348.563,Lèger
270,NOM_270,PRENOM_270,26,195.03,63.6,13895.12,1389.5120000000002,Lèger
271,NOM_271,PRENOM_271,36,192.45,86.85,11978.95,1197.8950000000002,Moyen
272,NOM_272,PRENOM_272,28,169.73,69.03,6980.38,698.038,Lèger
273,NOM_273,PRENOM_273,26,166.34,64.89,12437.08,1243.708,Lèger
274,NOM_274,PRENOM_274,30,178.47,71.98,10981.84,1098.184,Moyen
275,NOM_275,PRENOM_275,28,164.0,79.02,8670.39,867.039,Moyen
276,NOM_276,PRENOM_276,24,198.75,94.44,12847.83,1284.7830000000001,Lourd
277,NOM_277,PRENOM_277,36,188.77,80.98,7145.16,714.5160000000001,Moyen
278,NOM_278,PRENOM_278,40,157.4,68.06,9356.92,935.692,Lèger
279,NOM_279,PRENOM_279,23,167.56,67.75,10650.36,1065.036,Lèger
280,NOM_280,PRENOM_280,35,195.21,88.67,12369.19,1236.919,Moyen
281,NOM_281,PRENOM_281,21,176.47,67.79,6547.68,654.768,Lèger
282,NOM_282,PRENOM_282,34,154.1,54.82,7311.93,731.1930000000001,Lèger
283,NOM_283,PRENOM_283,29,193.62,62.24,12481.97,1248.1970000000001,Lèger
284,NOM_284,PRENOM_284,37,181.37,57.61,10548.86,1054.8860000000002,Lèger
285,NOM_285,PRENOM_285,33,197.41,73.24,9804.08,980.408,Moyen
286,NOM_286,PRENOM_286,35,187.4,86.47,11221.03,1122.103,Moyen
287,NOM_287,PRENOM_287,24,164.5,84.64,9428.66,942.866,Moyen
288,NOM_288,PRENOM_288,30,156.87,71.81,8393.75,839.375,Moyen
289,NOM_289,PRENOM_289,39,150.65,91.53,12162.84,1216.284,Lourd
290,NOM_290,PRENOM_290,31,161.86,84.26,12884.86,1288.486,Moyen
291,NOM_291,PRENOM_291,32,165.96,61.8,13036.57,1303.6570000000002,Lèger
292,NOM_292,PRENOM_292,25,160.69,64.11,6167.55,616.7550000000001,Lèger
293,NOM_293,PRENOM_293,28,150.33,62.81,6177.4,617.74,Lèger
294,NOM_294,PRENOM_294,28,171.42,62.28,12236.53,1223.653,Lèger
295,NOM_295,PRENOM_295,35,175.7,60.77,10228.52,1022.8520000000001,Lèger
296,NOM_296,PRENOM_296,37,175.96,55.49,11987.76,1198.776,Lèger
297,NOM_297,PRENOM_297,29,187.78,56.3,10141.82,1014.182,Lèger
298,NOM_298,PRENOM_298,25,199.56,60.47,9434.26,943.426,Lèger
299,NOM_299,PRENOM_299,28,189.28,64.25,12617.69,1261.7690000000002,Lèger
300,NOM_300,PRENOM_300,27,166.71,68.81,12395.7,1239.5700000000002,Lèger
301,NOM_301,PRENOM_301,38,166.55,84.38,7149.77,714.9770000000001,Moyen
302,NOM_302,PRENOM_302,32,153.47,69.32,10828.14,1082.814,Lèger
303,NOM_303,PRENOM_303,29,171.09,80.66,8314.02,831.402,Moyen
304,NOM_304,PRENOM_304,29,172.82,78.21,10296.54,1029.6540000000002,Moyen
305,NOM_305,PRENOM_305,41,170.27,57.93,8510.67,851.067,Lèger
306,NOM_306,PRENOM_306,31,163.57,71.91,9068.88,906.8879999999999,Moyen
307,NOM_307,PRENOM_307,25,185.9,68.85,9092.24,909.224,Lèger
308,NOM_308,PRENOM_308,35,171.69,92.45,9964.25,996.4250000000001,Lourd
309,NOM_309,PRENOM_309,23,197.07,57.47,11378.29,1137.8290000000002,Lèger
310,NOM_310,PRENOM_310,25,182.92,78.31,6087.04,608.7040000000001,Moyen
311,NOM_311,PRENOM_311,39,193.85,87.44,9984.87,998.4870000000001,Moyen
312,NOM_312,PRENOM_312,34,194.29,75.81,9351.33,935.133,Moyen
313,NOM_313,PRENOM_313,29,176.73,75.65,7396.11,739.611,Moyen
314,NOM_314,PRENOM_314,33,196.63,58.7,9818.9,981.89,Lèger
315,NOM_315,PRENOM_315,37,170.32,78.33,11908.67,1190.867,Moyen
316,NOM_316,PRENOM_316,33,194.07,71.36,10447.78,1044.778,Moyen
317,NOM_317,PRENOM_317,27,171.73,78.82,11177.0,1117.7,Moyen
318,NOM_318,PRENOM_318,36,189.17,80.78,13326.97,1332.6970000000001,Moyen
319,NOM_319,PRENOM_319,21,166.41,89.2,10922.8,1092.28,Moyen
320,NOM_320,PRENOM_320,30,191.72,70.98,7524.04,752.404,Moyen
321,NOM_321,PRENOM_321,29,155.83,62.6,7507.24,750.724,Lèger
322,NOM_322,PRENOM_322,34,170.2,84.35,11909.77,1190.977,Moyen
323,NOM_323,PRENOM_323,39,159.04,73.13,9312.08,931.2080000000001,Moyen
324,NOM_324,PRENOM_324,40,161.87,77.07,10498.08,1049.808,Moyen
325,NOM_325,PRENOM_325,39,183.2,79.92,10572.61,1057.2610000000002,Moyen
326,NOM_326,PRENOM_326,25,172.62,55.69,11832.96,1183.296,Lèger
327,NOM_327,PRENOM_327,39,164.13,93.01,13590.06,1359.006,Lourd
328,NOM_328,PRENOM_328,35,164.16,64.49,6985.7,698.57,Lèger
329,NOM_329,PRENOM_329,25,157.58,64.99,6122.99,612.299,Lèger
330,NOM_330,PRENOM_330,21,166.25,91.37,11645.35,1164.535,Lourd
